Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Number_Of_Engines,Engine_Type,Purpose_Of_Flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_Of_Flight,Publication_Date,Total_Passengers,Fatal_Injury_Number,Uninjured_Number
20001212X22531,Accident,CHI90LA083,1990-02-18,"PLAINWELL, MI",United States,OTSEGO-PLAINWELL MUNI,Non-Fatal,Substantial,N50003,Cessna,150H,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,05-09-1991,1.0,0.0,1.0
20001212X22518,Accident,BFO90LA029,1990-02-18,"LEESBURG, VA",United States,LEESBURG,Non-Fatal,Substantial,N63506,Cessna,150M,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,04-09-1992,1.0,0.0,1.0
20001212X22508,Accident,ATL90LA064,1990-02-18,"PEEWEE VALLEY, KY",United States,STUTZ FIELD,Non-Fatal,Substantial,N95445,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,15-12-1992,1.0,0.0,1.0
20001212X22616,Accident,MKC90LA054,1990-02-19,"CRANE LAKE, MN",United States,,Non-Fatal,Substantial,N67366,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,28-06-1991,1.0,0.0,1.0
20001212X22552,Accident,DEN90LA060,1990-02-21,"HUNGRY HORSE, MT",United States,,Non-Fatal,Destroyed,N91146,Cessna,T207,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC,Cruise,05-03-1993,1.0,0.0,0.0
20001212X22533,Accident,CHI90LA086,1990-02-21,"GARRETT, IN",United States,SHENK,Non-Fatal,Substantial,N757RN,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,15-12-1992,1.0,0.0,1.0
20001212X22510,Accident,ATL90LA066,1990-02-21,"ROXBORO, NC",United States,PERSON COUNTY,Non-Fatal,Substantial,N6845G,Cessna,150L,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,09-11-1992,2.0,0.0,1.0
20001212X22636,Accident,SEA90LA043,1990-02-22,"YAMHILL, OR",United States,FLYING M,Non-Fatal,Substantial,N64895,Cessna,152,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,30-09-1991,2.0,0.0,1.0
20001212X22555,Accident,DEN90LA065,1990-02-23,"LOGAN, UT",United States,LOGAN-CACHE,Non-Fatal,Destroyed,N4679F,Cessna,P206A,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,30-09-1991,1.0,0.0,1.0
20001212X22523,Incident,CHI90IA090,1990-02-23,"CLEVELAND, OH",United States,HOPKINS,Incident,,N202AU,Boeing,737-200,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,63.0,IMC,Taxi,08-12-1992,63.0,0.0,1.0
20001212X22598,Accident,LAX90LA102,1990-02-23,"LAKE ELSINORE, CA",United States,,Non-Fatal,Substantial,N67558,Cessna,152,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,09-11-1992,2.0,0.0,1.0
20001212X22554,Accident,DEN90LA064,1990-02-23,"GALLUP, NM",United States,GALLUP,Non-Fatal,Substantial,N9130A,Cessna,170A,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Takeoff,30-09-1992,2.0,0.0,1.0
